file_path,source,extension,size_mb,candidate_type,keyword_hits,read_status,columns_or_keys_preview,first_row_preview,priority_score
/home/mdsubhan01/ISPY2-3DGCNN/reports/tables/phase5a_oof_predictions.csv,local_scan,.csv,0.0068,other_support_candidate,,read_ok,model;patient_folder;true_label;predicted_probability;predicted_label,LogisticRegression;ISPY2-100899;0;0.49269987499058127;0,6
/home/mdsubhan01/ISPY2-3DGCNN/reports/tables/phase4e_downloaded_label_candidates.csv,local_scan,.csv,0.0057,other_support_candidate,,read_ok,file_path;read_status;patient_col;patient_overlap;label_col;usable_labels;positive;negative,/home/mdsubhan01/ISPY2-3DGCNN/external/ispy2_clini;read_ok_no_label_col;DICOM Tag;0;;0;0;0,6
/home/mdsubhan01/ISPY2-3DGCNN/reports/tables/phase4b_label_merge_candidates.csv,local_scan,.csv,0.0022,other_support_candidate,,read_ok,file_path;patient_column;patient_overlap;label_column;usable_labeled_patients;n_positive;n_negative;status,/home/mdsubhan01/ISPY2-3DGCNN/reports/tables/phase;patient_folder;35;;0;0;0;no_patient_or_label_column,6
/home/mdsubhan01/ISPY2-3DGCNN/reports/tables/phase4c_label_candidate_review.csv,local_scan,.csv,0.0022,other_support_candidate,,read_ok,file_path;patient_column;patient_overlap;label_column;usable_labeled_patients;n_positive;n_negative;status,/home/mdsubhan01/ISPY2-3DGCNN/reports/tables/phase;patient_folder;35;;0;0;0;no_patient_or_label_column,6
/home/mdsubhan01/ISPY2-3DGCNN/external/ispy2_support_sources/cropped-TCIA-Favicon-Transparent-32x32_68524a7172.png,downloaded_or_extracted_support,.png,0.0018,other_support_candidate,pe,not_opened,,,6
/home/mdsubhan01/ISPY2-3DGCNN/reports/tables/phase4a_feature_completeness.csv,local_scan,.csv,0.0011,other_support_candidate,,read_ok,feature;non_missing;missing;missing_pct;mean;std;min;max,nonzero_seg_frames;120;0;0.0;114.1;41.17015;64.0;180.0,6
/home/mdsubhan01/ISPY2-3DGCNN/reports/tables/phase5a_model_calibration_metrics.csv,local_scan,.csv,0.001,other_support_candidate,,read_ok,model;n_patients;positive_labels;negative_labels;n_splits;AUROC;AUPRC;Brier_score;calibration_MAE;accuracy;balanced_accuracy;F1;sensitivity;specificity;TP;TN;FP;FN,LogisticRegression;33;20;13;5;0.5461538461538461;0.7506391256164644;0.26616661003690567;0.2530816452458385;0.45454545454545453;0.4557692307692308;0.5;0.45;0.46153846153846156;9;6;7;11,6
/home/mdsubhan01/ISPY2-3DGCNN/reports/table_views/phase4b_model_performance.md,local_scan,.md,0.001,other_support_candidate,pe,not_opened,,,6
/home/mdsubhan01/ISPY2-3DGCNN/reports/Phase4D_Label_Source_Deep_Inspection_Summary.md,local_scan,.md,0.0009,other_support_candidate,pe,not_opened,,,6
/home/mdsubhan01/ISPY2-3DGCNN/reports/tables/phase5b_limitations_and_next_steps.csv,local_scan,.csv,0.0009,other_support_candidate,,read_ok,issue;current_state;risk;next_step,Small labeled cohort;Only 33 labeled patients were used.;Model performance may be unstable.;Expand geometry-ready feature extraction to more p,6
/home/mdsubhan01/ISPY2-3DGCNN/reports/tables/unified_model_heads_for_atlas.csv,local_scan,.csv,0.0008,other_support_candidate,,read_ok,model_head;input;output;role;why,"Radiomics + XGBoost;tumor volume, shape, radial profile, vessel densit;pCR or early response probability;primary interpretable prediction model;best first model for structured atlas biomarkers",6
/home/mdsubhan01/ISPY2-3DGCNN/reports/tables/github_table_view_index.csv,local_scan,.csv,0.0006,other_support_candidate,,read_ok,table;exists;rows;columns;view_file,ispy2_patient_summary.csv;yes;719;6;reports/table_views/ispy2_patient_summary.md,6
/home/mdsubhan01/ISPY2-3DGCNN/reports/tables/phase5b_key_results_summary.csv,local_scan,.csv,0.0006,other_support_candidate,,read_ok,section;item;value;interpretation,Cohort;Labeled patients;33;Small pilot cohort for feasibility analysis.,6
/home/mdsubhan01/ISPY2-3DGCNN/reports/tables/phase5a_model_recommendation.csv,local_scan,.csv,0.0004,other_support_candidate,,read_ok,recommended_model;selection_rule;AUROC;AUPRC;Brier_score;why;xgboost_available,"LogisticRegression;highest AUROC, then highest AUPRC, then lowest Bri;0.5461538461538461;0.7506391256164644;0.26616661003690567;This is a pilot model. It gives the best cross-val;not_available",6
/home/mdsubhan01/ISPY2-3DGCNN/reports/tables/phase7f_expanded_recovered_cohort_summary.csv,local_scan,.csv,0.0004,other_support_candidate,,read_ok,stage;metric;value,Phase 7C;SEG cases tested;2688,6
/home/mdsubhan01/ISPY2-3DGCNN/reports/logs/large_file_check.txt,local_scan,.txt,0.0,other_support_candidate,,read_failed: Could not determine delimiter,,,0
/home/mdsubhan01/ISPY2-3DGCNN/reports/logs/phase2_large_file_check.txt,local_scan,.txt,0.0,other_support_candidate,,read_failed: Could not determine delimiter,,,0
